lat,lng,isHot,label,description,picture
42.65301,23.36604,false,Дървеница
42.69991,23.32413,true,Сердика,,serdika.jpg
42.88987,25.32530,false,Конската чешма
42.81417,25.30611,false,Вонящата вода,"Водата има силен мирис на сяра, който обаче преминава след няколкодневен престой"
42.79733,25.33839,false,Соколски манастир,Чешмата е построена от Уста̀ Колю Фичето,sokolski_manastir.jpg
42.87260,25.31458,false,Любовната чешма
42.73367,25.31755,false
