Говорителя на мъртвите,Орсън Скот Кард,1986,https://chitanka.info/book/1117-govoritelja-na-myrtvite,5
Ксеноцид,Орсън Скот Кард,1991,https://chitanka.info/book/1788-ksenotsid,4
